Dimensão,Clique
3,"alone, made, might"
3,"mother, weve, would"
3,"warm, return, keep"
3,"heart, away, would"
3,"weight, boy, right"
3,"return, never, ah"
3,"weight, ah, never"
3,"youll, away, kind"
3,"like, oh, weve"
3,"kind, weve, hello"
3,"quiet, world, mind"
4,"collide, could, heart, give"
4,"like, boy, away, life"
4,"mother, take, would, u"
4,"pure, make, heart, ah"
4,"like, boy, away, hunter"
4,"mother, inside, could, light"
4,"collide, could, see, know"
4,"pure, let, know, peace"
4,"pure, let, inside, coming"
4,"pure, let, take, ah"
4,"collide, ooh, see, know"
4,"hoping, see, away, dont"
4,"deeper, die, love, walk"
4,"deeper, lyric, walk, love"
4,"keep, youll, home, time"
4,"become, animal, child, im"
4,"keep, sleep, peace, home"
4,"like, shes, lyric, moon"
4,"keep, forgetting, ooh, love"
4,"become, knew, im, child"
4,"child, mother, first, knew"
4,"like, shes, let, stone"
4,"like, shes, let, ever"
4,"demon, ever, might, contributorsall"
4,"ah, see, came, u"
4,"ah, see, moon, dream"
4,"like, ive, ever, inside"
4,"animal, im, first, feel"
4,"become, would, take, love"
4,"collide, ah, see, give"
4,"child, im, knew, first"
4,"victim, love, looking, soul"
4,"warm, love, make, hate"
4,"warm, love, inside, something"
4,"child, im, coming, world"
4,"return, make, moon, home"
4,"heart, knew, feel, living"
4,"heart, knew, cold, let"
4,"heart, shes, let, ever"
4,"heart, shes, let, stone"
4,"like, im, forced, die"
4,"heart, free, walk, dont"
4,"heart, drink, save, let"
4,"collide, ah, world, save"
4,"bring, stone, know, dont"
4,"warm, mother, ah, youre"
4,"warm, mother, light, inside"
4,"warm, knew, mother, youre"
4,"collide, ah, heart, give"
4,"collide, ah, see, world"
4,"heart, love, ive, hurt"
4,"heart, mother, would, u"
4,"never, youll, u, home"
4,"never, take, sleep, mother"
4,"never, take, sleep, home"
4,"collide, ah, see, know"
4,"ah, make, oh, world"
4,"mother, first, knew, inside"
4,"like, ترجمه‌ی, oh, let"
4,"child, take, coming, world"
4,"cold, knew, let, youre"
4,"right, every, quiet, love"
4,"like, make, moon, home"
4,"color, take, came, ah"
4,"quiet, would, hunter, storm"
4,"waiting, hello, let, home"
4,"waiting, hello, let, oh"
4,"color, dark, knew, moment"
4,"ooh, ’, lyric, walk"
4,"youll, there, living, love"
4,"youll, sleep, come, home"
4,"sleep, peace, home, waiting"
4,"sleep, make, oh, world"
4,"sleep, make, world, home"
4,"kind, hunter, u, would"
4,"contributorstranslationsespañolaurora, hello, oh, let"
4,"like, ground, word, around"
4,"kind, would, love, got"
4,"like, oh, every, take"
4,"kind, got, end, love"
4,"ooh, dont, see, know"
4,"ooh, dont, see, world"
4,"alone, love, make, ah"
4,"light, im, hate, love"
4,"color, would, could, see"
4,"ah, let, youre, cold"
4,"alone, ’, might, soul"
4,"there, living, love, step"
4,"upset, moon, lyric, shes"
4,"right, let, take, world"
4,"alone, ’, body, soul"
4,"body, skin, live, love"
4,"right, let, cant, eye"
5,"warm, knew, heart, mother, inside"
5,"warm, knew, make, heart, cold"
5,"demon, ’, lyric, let, might"
5,"like, live, love, u, take"
5,"like, im, love, living, step"
5,"like, im, oh, coming, world"
5,"animal, also, forced, around, die"
5,"like, looking, every, love, mind"
5,"like, live, love, know, word"
5,"demon, ’, need, let, greeting"
5,"need, know, ’, contributorsall, lyric"
5,"like, live, love, know, soul"
5,"like, live, love, soul, take"
5,"demon, ’, need, let, peace"
5,"like, live, skin, coming, time"
5,"return, make, youll, give, heart"
5,"like, first, im, eye, step"
5,"demon, ’, lyric, need, road"
5,"demon, ’, lyric, need, let"
5,"demon, ’, lyric, need, contributorsall"
5,"like, im, world, stranger, make"
5,"dreaming, mother, take, ah, oh"
5,"like, living, past, away, send"
5,"animal, cant, dont, love, eye"
5,"like, im, knew, make, world"
5,"dreaming, mother, waiting, peace, body"
5,"like, living, away, walk, dont"
5,"greeting, go, need, ’, let"
5,"like, coming, let, inside, time"
5,"dreaming, mother, take, ah, u"
5,"dreaming, soul, body, peace, waiting"
5,"dreaming, soul, body, peace, take"
5,"like, live, boy, let, world"
5,"like, ترجمه‌ی, lyric, free, let"
5,"animal, im, love, hate, make"
5,"warm, knew, met, inside, something"
5,"like, ترجمه‌ی, lyric, let, place"
5,"like, ترجمه‌ی, lyric, let, soft"
5,"like, also, might, moon, home"
