Dimensão,Clique
3,"post, gunshot, life"
3,"hey, arena, go"
3,"forget, whatever, helped"
3,"pop, idea, like"
3,"housewife, else, know"
3,"pop, might, go"
3,"scar, led, cant"
3,"normal, last, got"
3,"hear, hook, sometimes"
3,"video, cant, college"
3,"maybe, ex, bully"
3,"video, writing, song"
3,"choice, school, people"
3,"tour, car, music"
3,"worked, learned, mean"
3,"speech, 1, want"
3,"probably, whatever, might"
3,"hey, playing, youre"
3,"artist, miserable, tonight"
3,"nothing, easy, 9"
3,"done, many, believed"
3,"advice, medium, youre"
3,"constantly, message, music"
3,"perfectly, work, take"
3,"perfectly, eat, step"
3,"worked, learned, know"
3,"advice, ever, member"
3,"cancer, ive, there"
3,"trouble, new, lot"
3,"country, car, sound"
3,"later, situation, cant"
3,"instead, world, best"
3,"social, lesson, internet"
3,"behind, grow, back"
3,"social, anyone, also"
3,"social, losing, coming"
3,"behind, youll, reason"
3,"hear, case, trust"
3,"songwriter, like, word"
3,"stadium, last, reputation"
3,"tour, sound, know"
3,"use, veiled, society"
3,"teen, taught, could"
3,"artist, order, goal"
3,"grade, school, carry"
3,"worthy, part, best"
3,"girl, celebrated, might"
3,"high, please, want"
3,"issue, playing, many"
3,"hair, u, year"
3,"lonely, best, party"
3,"teen, year, music"
3,"warning, society, constantly"
3,"friend, school, update"
3,"tonight, best, thank"
3,"may, america, grow"
3,"brain, hair, every"
3,"remember, anyone, write"
3,"global, experience, still"
3,"perfect, cant, ex"
3,"million, 30, safe"
3,"story, instagram, right"
3,"may, 2015, 2"
3,"done, hate, many"
3,"loving, please, feel"
3,"future, loved, perspective"
3,"place, way, 8"
3,"dancing, last, lyric"
3,"painful, life, social"
3,"year, music, college"
3,"kid, anyway, scar"
3,"doctor, would, enough"
3,"felt, song, needed"
3,"doctor, hope, case"
3,"car, way, fight"
3,"fact, internet, social"
3,"fact, hate, cant"
3,"car, way, sound"
3,"thats, chosen, twenty"
3,"car, mom, made"
3,"thats, chosen, maybe"
3,"great, 1, date"
3,"manchester, 2015, vega"
3,"went, reality, experience"
3,"tour, reputation, 2015"
3,"brain, ex, update"
3,"thing, hiding, still"
3,"everyone, time, person"
3,"story, model, absolutely"
3,"deep, never, long"
3,"stop, take, hard"
3,"tour, went, love"
3,"brain, social, life"
3,"voice, story, reading"
3,"feeling, internet, im"
4,"found, friend, party, know"
4,"loud, mom, word, would"
4,"game, global, youre, know"
4,"game, life, real, taught"
4,"3, lesson, trying, going"
4,"fear, order, even, want"
4,"fear, order, feel, want"
4,"isnt, lesson, everlasting, time"
4,"fan, music, way, love"
4,"posted, lesson, realizing, people"
4,"posted, lesson, stuff, thought"
4,"thing, internet, many, right"
4,"single, taught, u, way"
4,"wrong, step, someone, person"
4,"fighting, love, there, reason"
4,"thing, internet, whether, opinion"
4,"found, wanted, twenty, always"
4,"hand, true, really, back"
4,"laugh, learned, also, getting"
4,"thing, internet, many, anyway"
4,"hand, good, one, come"
4,"ever, home, idea, —"
4,"hand, good, one, im"
4,"ever, home, —, post"
4,"thing, best, think, experience"
4,"fear, led, youre, life"
4,"posted, like, instagram, would"
4,"everyone, face, get, let"
4,"found, twenty, lesson, always"
4,"found, new, lot, making"
4,"hand, choose, one, learned"
4,"hand, choose, isnt, learned"
4,"true, time, oh, back"
4,"constantly, lesson, learned, medium"
4,"everyone, time, class, let"
4,"ever, would, —, post"
4,"value, choice, let, make"
4,"everyone, step, lesson, let"
4,"grammys, people, something, acceptance"
4,"value, long, life, learn"
4,"hand, know, victim, go"
4,"constantly, message, person, every"
4,"posted, say, wanted, people"
4,"started, someone, got, public"
4,"everyone, step, lesson, wrong"
4,"found, new, lot, trying"
4,"laugh, learned, alive, make"
4,"everyone, step, lesson, normal"
4,"ever, hope, life, maybe"
4,"ever, hope, life, today"
4,"everyone, time, get, college"
4,"greatest, know, opinion, thank"
4,"absolutely, young, someone, taught"
4,"loud, one, worst, time"
4,"game, shooting, youre, know"
4,"loud, mom, word, supposed"
4,"stress, take, people, lesson"
4,"perfectly, didnt, think, —"
4,"ever, keep, didnt, go"
4,"forever, leave, go, sometimes"
4,"fear, lesson, scar, internet"
4,"college, love, also, go"
4,"forever, sometimes, go, life"
4,"maybe, said, someone, right"
4,"place, housewife, know, like"
4,"fear, lesson, opinion, internet"
4,"place, home, made, ive"
4,"college, go, also, got"
4,"speech, new, life, im"
4,"may, failure, feel, life"
4,"may, forever, failure, life"
4,"place, home, get, way"
4,"normal, step, right, feel"
4,"speech, new, something, life"
4,"12, lesson, turn, life"
4,"instagram, would, could, thought"
4,"thing, leave, grow, along"
4,"place, home, get, ive"
4,"thing, leave, grow, sometimes"
4,"thing, adult, never, person"
4,"grammys, year, something, young"
4,"else, everything, room, there"
4,"felt, like, help, needed"
4,"wasnt, looking, even, u"
4,"wasnt, make, u, looking"
4,"felt, ever, idea, people"
4,"incredible, lot, im, really"
4,"incredible, would, room, member"
4,"incredible, would, im, never"
4,"thing, reputation, one, got"
4,"incredible, tonight, really, take"
4,"incredible, tonight, thank, really"
4,"loving, ive, day, every"
4,"felt, cant, realizing, way"
4,"friendship, playing, memory, lesson"
4,"taught, else, could, someone"
4,"maybe, know, hope, life"
4,"may, lesson, time, vega"
4,"felt, ive, made, every"
4,"incredible, tonight, really, lot"
4,"maybe, ex, like, learn"
4,"next, changed, learned, know"
4,"share, id, made, like"
4,"told, yes, —, like"
4,"didnt, said, go, make"
4,"thinly, veiled, million, time"
4,"told, u, —, wasnt"
4,"teen, like, every, message"
4,"amazing, thank, year, much"
4,"amazing, thank, year, experience"
4,"amazing, thank, year, last"
4,"started, song, unless, want"
4,"wrong, anything, ive, look"
4,"didnt, person, arent, message"
4,"hand, jail, would, go"
4,"hand, jail, would, something"
4,"didnt, person, said, one"
4,"started, someone, internet, career"
4,"laugh, love, getting, also"
4,"started, someone, go, got"
4,"ever, keep, didnt, people"
4,"didnt, experience, really, think"
4,"wrong, anything, look, right"
4,"didnt, arent, message, —"
4,"yes, like, friend, party"
4,"share, id, made, ive"
4,"thing, leave, grow, like"
4,"pain, discerning, life, time"
4,"forever, rest, go, life"
4,"thing, insecurity, keep, always"
4,"college, school, thought, one"
4,"maybe, ex, feel, like"
4,"help, needed, really, like"
4,"started, school, go, want"
4,"maybe, ex, feel, right"
4,"thing, 1, award, lesson"
4,"told, time, absolutely, wasnt"
4,"told, hang, even, want"
4,"university, time, leave, go"
4,"told, hang, even, wasnt"
4,"started, school, public, got"
4,"university, time, class, one"
4,"didnt, going, young, people"
4,"game, life, getting, learned"
4,"started, someone, got, bully"
4,"wan na, thank, see, low"
4,"see, got, let, go"
4,"brain, little, never, always"
4,"remember, youll, lesson, way"
4,"relationship, life, grow, long"
4,"ever, led, u, people"
4,"brain, need, well, still"
4,"ever, dont, unless, case"
4,"singing, made, go, oftentimes"
4,"done, look, future, get"
4,"done, look, future, believed"
4,"nothing, really, think, hurt"
4,"goal, tonight, need, even"
4,"nothing, really, think, way"
4,"tabloid, every, one, ive"
4,"thing, mistake, idea, experience"
4,"thats, learn, good, want"
4,"age, young, message, woman"
4,"age, people, person, arent"
4,"relationship, internet, many, anyway"
4,"relationship, internet, many, right"
4,"relationship, internet, sometimes, anyway"
4,"relationship, thought, sometimes, dont"
4,"scar, sometimes, never, always"
4,"scar, sometimes, never, cant"
4,"scar, sometimes, always, leave"
4,"anyone, like, telling, message"
4,"cathartic, one, emergency, would"
4,"cathartic, one, person, love"
4,"cathartic, one, person, making"
4,"body, every, hard, cant"
4,"body, left, lesson, like"
4,"taylor, last, many, time"
4,"child, best, would, like"
4,"child, best, mistake, would"
4,"chance, mistake, losing, trying"
4,"hey, stadium, face, im"
4,"brain, good, every, searching"
4,"ever, 1, tell, lesson"
4,"thing, theyve, coming, conversation"
4,"thing, theyve, 30, still"
4,"ever, 1, back, lesson"
4,"ever, led, happy, common"
4,"curve, hard, u, mean"
4,"brain, good, every, life"
4,"fan, named, keep, time"
4,"ever, failure, mistake, trying"
4,"high, day, one, every"
4,"goal, tonight, room, even"
4,"thing, along, grow, take"
4,"type, losing, im, internet"
4,"working, lesson, never, love"
4,"energy, lesson, lot, dont"
4,"energy, lesson, lot, also"
4,"guess, later, look, go"
4,"kid, like, example, lesson"
4,"kid, anyway, go, u"
4,"goal, would, even, say"
4,"goal, lot, picture, people"
4,"energy, lesson, lot, room"
4,"thats, youll, always, searching"
4,"goal, people, real, everything"
4,"perfect, part, mistake, feel"
4,"thats, youll, —, maybe"
4,"brain, hard, life, every"
4,"anyone, searching, youre, go"
4,"energy, lesson, mean, life"
4,"ever, hard, u, today"
4,"ever, back, jail, around"
4,"perfect, cant, much, would"
4,"goal, would, people, internet"
4,"perfect, cant, much, every"
4,"chance, led, youre, life"
4,"relationship, make, grow, would"
4,"relationship, make, right, would"
4,"relationship, youll, right, youre"
4,"type, like, instagram, would"
4,"ever, maybe, forever, life"
4,"chance, one, around, idea"
4,"tabloid, come, ive, taken"
4,"ever, said, didnt, go"
4,"anyone, please, left, coming"
4,"relationship, internet, lesson, opinion"
4,"ever, break, fault, tell"
4,"chance, one, around, lesson"
4,"thats, take, time, always"
4,"remember, much, lesson, stress"
4,"goal, room, would, even"
4,"type, internet, would, im"
4,"relationship, fight, right, would"
4,"relationship, fight, right, youre"
4,"relationship, fight, right, give"
4,"chance, one, around, there"
4,"goal, room, would, people"
4,"bravely, greatest, world, love"
4,"stadium, im, looking, know"
4,"thing, said, youll, different"
4,"thing, realized, actually, made"
4,"brain, youre, every, searching"
4,"see, thank, low, ive"
4,"thing, ex, like, got"
4,"finally, address, let, time"
4,"perfectly, think, u, —"
4,"8, say, mean, look"
4,"wrong, able, anything, ive"
4,"8, say, mean, let"
4,"brit, thank, speech, know"
4,"thing, ex, cant, right"
4,"together, friendship, hope, keep"
4,"face, wrong, back, step"
4,"brain, youre, friend, life"
4,"didnt, hurt, really, cut"
4,"didnt, hurt, really, one"
4,"bill, put, thank, say"
4,"fantasy, got, music, college"
4,"pop, would, like, country"
4,"much, natural, everything, feel"
4,"soul, like, body, put"
4,"else, there, get, dont"
4,"perfectly, moment, u, step"
4,"thing, internet, lesson, opinion"
4,"fear, shooting, feel, completely"
4,"much, take, many, 15"
4,"least, one, making, need"
4,"isnt, pain, time, feel"
4,"brain, ounce, searching, every"
4,"fear, invoking, want, feel"
4,"fear, realized, want, feel"
4,"fear, carry, life, mean"
4,"bill, put, life, say"
4,"together, sometimes, feel, friendship"
4,"much, coming, lesson, please"
4,"thing, jail, around, back"
4,"thing, low, thank, ive"
4,"much, got, ’, even"
4,"much, got, ’, like"
4,"brit, im, know, speech"
4,"brit, 1, speech, new"
4,"ever, would, member, board"
4,"grammys, people, something, young"
4,"thing, jail, would, something"
4,"forget, searching, lesson, never"
4,"hair, straight, coming, completely"
4,"gut, led, know, youre"
4,"face, like, step, let"
4,"country, car, myspace, cry"
4,"country, like, myspace, cry"
4,"later, right, whatever, go"
4,"later, right, wisdom, whatever"
4,"happy, love, idea, end"
4,"country, like, sound, perspective"
4,"social, lesson, learned, coming"
4,"social, lesson, learned, life"
4,"country, car, myspace, —"
4,"happy, love, stranger, life"
4,"happy, mistake, make, time"
4,"believed, people, alone, u"
4,"brain, im, excuse, never"
4,"career, tell, losing, person"
4,"sure, im, lesson, 22"
4,"simple, laugh, way, get"
